481033215,361517
-1217087628,356042
1218085563,355155
-477985804,281463
1706486909,209477
-2034003747,183582
-2054609986,161278
-1634850559,158650
-519734466,157481
665570333,153835
-1753098207,124981
1166311955,119645
1966346047,118715
893235677,118254
-1924890661,107492
-1292529380,96685
-1206626271,85540
127284822,82752
1296914005,75227
614332221,72922
-1042424610,67289
-10444414,61261
1777137652,55139
-559682421,53313
-303464267,53194
635828260,51977
-854309237,50649
1368300688,49909
1677688198,48932
1486984823,48715
-1771735136,47725
1005905612,47362
-1149513930,45121
1002738381,43647
924440973,43272
-1128164961,42431
1697440409,42141
-500180030,41197
-2036221601,39310
-602351741,39172
-2051640792,37691
1261754360,37681
-154351735,36421
-1867148919,35063
2103182329,32376
-965553521,31272
-1334759969,30227
539153407,29641
-717703401,29560
768124293,28811
1128233480,26837
362416941,25641
-812692561,24430
-1352056454,23470
-1598057304,23419
897676499,23278
-498068430,23020
2078695428,22769
1888391533,22389
1314840692,22297
653815437,21725
1920913586,21620
1220854599,21275
-640404483,21220
-480615902,21051
-846500061,20527
403965871,20435
741656935,20364
263030124,20207
1412808771,20104
1749516213,19747
983839783,19478
-1061651893,19431
-426542655,18940
-750908681,18076
996984253,18045
1404668559,17732
-644515682,17161
87692402,17033
-1166845586,16640
-1466071332,16598
119479944,16509
-261179306,16428
433450104,16116
1688032835,16057
-170172140,15885
115176110,15331
-227373674,14849
-146219555,14677
782328239,14469
-728259083,14043
-1547637557,13406
888265762,13398
885419120,13308
-638415117,13265
406962392,13100
-1427502040,12751
-538357388,12660
-390694164,12446
1970251283,12379
-389818116,12297
-571613814,11934
794418589,11914
457623108,11908
1715648464,11906
757811255,11808
-2001727139,11764
-1556311200,11729
102437450,11693
471389380,11551
-1879765519,11278
829250198,11252
76013823,11196
1933860695,10963
408268262,10930
628581012,10901
-971714226,10710
-1322595831,10703
1065006070,10333
-882984745,10319
-1548279278,10138
82278776,10034
-80269590,9870
-1149569400,9834
346165978,9641
1429709961,9614
-830394663,9451
-1272564984,9271
1670902754,9265
1074614865,9229
647374730,9168
-1073759780,9167
-62848146,9104
2124622074,9013
1044087036,9008
1298258813,9004
1652581279,8890
-2129488933,8870
-859080047,8866
1296730512,8728
343601687,8689
-2064083918,8394
1546676220,8247
-355009035,8236
79194277,8175
-1177204372,8155
1605826605,8108
300366683,8063
-1950057337,8036
-1875289665,7846
-594658610,7767
1903351891,7761
-1729985357,7733
1569233443,7695
1930517911,7628
-626835434,7556
-1203473665,7532
-1710723565,7519
-1837482491,7517
-114685614,7510
1714620920,7427
-896058922,7392
-1411724545,7355
-24312391,7290
-410963779,7190
-492246503,7189
-503082692,7173
-1760085608,7078
243489100,7077
1534136285,7063
730007424,7027
-702494948,7024
-1098969862,6874
865481824,6710
-1669493154,6655
888512148,6615
633727991,6605
-457024442,6536
-1198741314,6497
-110715269,6416
-935036028,6411
1330142072,6403
-1336345468,6380
205049634,6362
2017351463,6340
-106757539,6208
767022169,6135
1788060851,6119
1059741052,6105
-1549693148,6095
-954098584,6087
36967976,6031
-965212568,5993
258422688,5990
1849357622,5962
-1041902188,5923
-1633488809,5893
1100771805,5881
1606002619,5869
1263249683,5854
1530185530,5826
111954691,5750
1388081937,5729
-1115351033,5636
362199100,5617
1745288059,5577
1687712354,5577
-7172666,5563
392704182,5530
1344972074,5529
-1464888646,5520
